場,芝ダ,距離,条件1,条件2,条件3,種別,学習n,学習複勝率,学習基準,OOSn,OOS複勝率,OOS基準,学習単回収,OOS単回収
中京,芝,2000,前走着順が3着以内,馬齢が3歳以下,,買い,362,43.6,24.0,76,42.1,22.1,61,39
中京,芝,2000,前走着順が5着以内,,,買い,1068,36.2,24.0,229,35.4,22.1,91,131
中山,芝,2000,性別が牡馬・セン,馬齢が3歳以下,騎手が横山武史,買い,72,50.0,21.2,18,33.3,20.2,106,115
中山,芝,2000,性別が牡馬・セン,馬齢が4歳以下,騎手が横山武史,買い,84,47.6,21.2,20,30.0,20.2,99,104
中山,芝,2000,性別が牡馬・セン,調教師の所属が美浦,騎手が横山武史,買い,75,48.0,21.2,17,29.4,20.2,107,69
京都,ダート,1400,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,182,48.9,20.6,124,46.0,20.5,77,92
京都,ダート,1400,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,175,49.1,20.6,100,48.0,20.5,81,83
京都,ダート,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,216,47.7,20.6,114,47.4,20.5,73,75
札幌,ダート,1700,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,268,43.7,22.8,67,44.8,22.7,68,70
札幌,ダート,1700,前走着順が3着以内,枠番が6~8枠,馬齢が4歳以下,買い,323,43.0,22.8,84,50.0,22.7,76,61
札幌,ダート,1700,前走との間隔が中8週以上,前走着順が3着以内,枠番が6~8枠,買い,314,43.0,22.8,83,48.2,22.7,74,63
中京,芝,1600,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,215,45.1,22.6,59,42.4,21.4,59,77
中京,芝,1600,前走との間隔が中4週以内,前走着順が3着以内,性別が牡馬・セン,買い,144,45.8,22.6,33,42.4,21.4,49,65
中京,芝,1600,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,413,41.9,22.6,99,44.4,21.4,56,67
東京,ダート,2100,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,261,47.5,20.6,86,48.8,20.8,88,112
東京,ダート,2100,前走中央場所,前走着順が3着以内,馬齢が3歳以下,買い,209,48.3,20.6,96,41.7,20.8,77,68
東京,ダート,2100,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,335,45.7,20.6,135,39.3,20.8,75,76
小倉,芝,1800,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,189,54.5,22.5,28,53.6,21.7,74,89
小倉,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,124,57.3,22.5,17,58.8,21.7,71,50
小倉,芝,1800,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,209,53.1,22.5,28,57.1,21.7,63,89
函館,芝,1200,馬齢が3歳以下,騎手が武豊,,買い,64,54.7,22.6,26,38.5,23.0,128,43
函館,芝,1200,前走の4コーナー通過順が4番手以内,騎手が横山武史,,買い,37,64.9,22.6,15,33.3,23.0,115,60
函館,芝,1200,調教師の所属が栗東,馬齢が4歳以下,騎手が武豊,買い,62,54.8,22.6,15,46.7,23.0,132,186
福島,ダート,1150,前走との間隔が中8週以上,前走着順が3着以内,馬齢が3歳以下,買い,156,49.4,20.0,44,54.5,20.0,71,59
福島,ダート,1150,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,218,47.2,20.0,51,54.9,20.0,74,51
福島,ダート,1150,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,184,47.8,20.0,44,54.5,20.0,73,54
京都,ダート,1200,前走中央場所,前走着順が3着以内,調教師の所属が栗東,買い,264,44.7,20.5,89,37.1,20.4,94,83
京都,ダート,1200,前走中央場所,前走着順が3着以内,馬齢が4歳以下,買い,223,45.3,20.5,105,38.1,20.4,68,67
京都,ダート,1200,前走の4コーナー通過順が4番手以内,前走中央場所,前走着順が3着以内,買い,177,45.2,20.5,84,36.9,20.4,115,78
小倉,芝,2000,前走着順が3着以内,調教師の所属が栗東,馬齢が4歳以下,買い,274,51.1,22.6,50,32.0,21.1,95,43
小倉,芝,2000,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,200,52.5,22.6,27,33.3,21.1,94,54
小倉,芝,2000,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,250,50.8,22.6,50,40.0,21.1,81,67
東京,芝,2000,前走着順が5着以内,騎手がルメール,,買い,72,76.4,25.3,22,86.4,24.6,105,95
東京,芝,2000,前走着順が9着以内,騎手がルメール,,買い,77,74.0,25.3,23,87.0,24.6,100,91
東京,芝,2000,性別が牡馬・セン,騎手がルメール,,買い,74,73.0,25.3,15,80.0,24.6,96,123
函館,ダート,1700,前走との間隔が中4週以内,前走着順が3着以内,馬齢が3歳以下,買い,207,52.7,24.0,59,49.2,24.6,63,88
函館,ダート,1700,前走との間隔が中4週以内,前走着順が3着以内,馬齢が4歳以下,買い,259,51.4,24.0,68,47.1,24.6,60,88
函館,ダート,1700,前走着順が3着以内,調教師の所属が栗東,馬齢が3歳以下,買い,173,52.6,24.0,33,48.5,24.6,83,66
中山,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が3歳以下,買い,167,44.9,21.0,40,40.0,21.2,109,63
中山,芝,1200,前走の4コーナー通過順が4番手以内,前走着順が3着以内,馬齢が4歳以下,買い,223,43.0,21.0,63,41.3,21.2,106,57
中山,芝,1200,前走の馬体重が460kg以上,前走着順が5着以内,馬齢が3歳以下,買い,158,43.7,21.0,29,34.5,21.2,98,28
中京,芝,1400,前走との間隔が中4週以内,前走着順が3着以内,,買い,221,42.1,20.2,63,44.4,20.2,91,107
中京,芝,1400,前走との間隔が中8週以上,前走の馬体重が460kg以上,前走着順が3着以内,買い,166,43.4,20.2,49,49.0,20.2,106,100
中京,芝,1400,前走との間隔が中8週以上,前走着順が3着以内,馬齢が4歳以下,買い,247,40.9,20.2,74,40.5,20.2,96,120
京都,芝,1600,前走との間隔が中8週以上,前走着順が3着以内,性別が牡馬・セン,買い,137,48.9,21.9,64,48.4,22.2,82,77
京都,芝,1600,前走着順が3着以内,性別が牡馬・セン,馬齢が4歳以下,買い,135,48.9,21.9,71,49.3,22.2,97,80
京都,芝,1600,前走の馬体重が460kg以上,前走着順が3着以内,調教師の所属が栗東,買い,187,46.5,21.9,78,44.9,22.2,97,105
新潟,芝,1800,前走の馬体重が460kg以上,前走着順が3着以内,馬齢が3歳以下,買い,84,60.7,22.2,24,41.7,21.2,109,94
